name,pos,team,team,pos,g,salcap,salt,salb,salsb,salob
Michael Jenkins,WR,ATL,ATL,WR,15.0,5725280.0,4507280.0,1500000.0,0.0,3007280.0
James Harrison,LB,PIT,PIT,LB,16.0,5701030.0,1.335728E7,800000.0,1.0E7,2557280.0
Hines Ward,WR,PIT,PIT,WR,16.0,5698013.0,5804680.0,2750000.0,3050000.0,4680.0
John Henderson,DT,JAX,JAX,DT,15.0,5690000.0,4400000.0,4200000.0,0.0,200000.0
Nate Clements,CB,SF,SF,CB,7.0,5683332.0,4016666.0,3516666.0,0.0,500000.0
Ike Taylor,CB,PIT,PIT,CB,16.0,5674680.0,3754680.0,2640000.0,860000.0,254680.0
Antonio Pierce,LB,NYG,NYG,LB,9.0,5640000.0,4350000.0,4350000.0,0.0,0.0
Jason Allen,S,MIA,MIA,S,16.0,5631240.0,5506240.0,4000000.0,1500000.0,6240.0
Chris Kelsay,DE,BUF,BUF,DE,16.0,5600000.0,3600000.0,3000000.0,0.0,600000.0
Marcus Stroud,DT,BUF,BUF,DT,15.0,5593746.0,6502080.0,3400000.0,2100000.0,1002080.0
Brandon Jacobs,RB,NYG,NYG,RB,15.0,5506110.0,1.150611E7,3500000.0,8000000.0,6110.0
Chris Canty,DE,NYG,NYG,DE,8.0,5450000.0,1.225E7,3750000.0,8500000.0,0.0
Chike Okeafor,DE,ARI,ARI,DE,13.0,5400000.0,4500000.0,4500000.0,0.0,0.0
Madieu Williams,S,MIN,MIN,S,16.0,5350208.0,4720000.0,620000.0,0.0,4100000.0
Charles Grant,DE,NO,NO,DE,16.0,5313333.0,2100000.0,1850000.0,0.0,250000.0
DeAngelo Hall,CB,WAS,WAS,CB,13.0,5307280.0,6507280.0,5000000.0,1500000.0,7280.0
Chris Chambers,WR,KC,KC,WR,9.0,5306630.0,4556630.0,4550000.0,0.0,6630.0
Jamal Williams,DT,SD,SD,DT,1.0,5306630.0,4906630.0,3900000.0,0.0,1006630.0
Raheem Brock,DT,IND,IND,DT,16.0,5305520.0,3705520.0,3205000.0,0.0,500520.0
Antwan Odom,DE,CIN,CIN,DE,6.0,5200000.0,3500000.0,3400000.0,0.0,100000.0
Kellen Winslow,TE,TB,TB,TE,16.0,5176760.0,5176760.0,5170000.0,0.0,6760.0
Osi Umenyiora,DE,NYG,NYG,DE,16.0,5137500.0,3050000.0,2550000.0,0.0,500000.0
Antrel Rolle,CB,ARI,ARI,CB,15.0,5120250.0,3568250.0,3565000.0,0.0,3250.0
Michael Clayton,WR,TB,TB,WR,13.0,5106760.0,7506760.0,3000000.0,3000000.0,1506760.0
Daunte Culpepper,QB,DET,DET,QB,8.0,5070000.0,5050000.0,2500000.0,0.0,2550000.0
Santana Moss,WR,WAS,WAS,WR,16.0,5055300.0,7031500.0,745000.0,6286500.0,0.0
Domonique Foxworth,CB,BAL,BAL,CB,16.0,5006240.0,8006240.0,620000.0,4000000.0,3386240.0
Ray Lewis,LB,BAL,BAL,LB,16.0,5006240.0,1.000624E7,1000000.0,6250000.0,2756240.0
Brett Keisel,DE,PIT,PIT,DE,15.0,5003220.0,7255720.0,2250000.0,5000000.0,5720.0
Leroy Hill,LB,SEA,SEA,LB,11.0,5003120.0,5003120.0,5000000.0,0.0,3120.0
Bryant McFadden,CB,ARI,ARI,CB,16.0,5000000.0,5000000.0,3750000.0,0.0,1250000.0
Michael Lewis,S,SF,SF,S,15.0,5000000.0,5000000.0,1900000.0,0.0,3100000.0
Terrence McGee,CB,BUF,BUF,CB,11.0,4975000.0,6375000.0,3000000.0,3000000.0,375000.0
E.J. Henderson,LB,MIN,MIN,LB,12.0,4931305.0,3300000.0,3200000.0,0.0,100000.0
Joe Flacco,QB,BAL,BAL,QB,16.0,4881760.0,8601760.0,1535000.0,0.0,7066760.0
Vernon Davis,TE,SF,SF,TE,16.0,4880000.0,2540000.0,2440000.0,0.0,100000.0
Nathan Vasher,CB,CHI,CHI,CB,15.0,4866666.0,2950000.0,2900000.0,0.0,50000.0
Sedrick Ellis,DT,NO,NO,DT,10.0,4866000.0,9366000.0,3366000.0,0.0,6000000.0
Dominique Rodgers-Cromartie,CB,ARI,ARI,CB,16.0,4806300.0,8085000.0,385000.0,0.0,7700000.0
Rashean Mathis,CB,JAX,JAX,CB,10.0,4804000.0,3500000.0,3450000.0,0.0,50000.0
Al Harris,CB,GB,GB,CB,10.0,4775000.0,4200000.0,3000000.0,0.0,1200000.0
Anquan Boldin,WR,ARI,ARI,WR,15.0,4750000.0,2750000.0,2750000.0,0.0,0.0
Glenn Dorsey,DT,KC,KC,DT,15.0,4722000.0,1.307E7,2385000.0,0.0,1.0685E7
Jason Witten,TE,DAL,DAL,TE,16.0,4706110.0,2506110.0,2500000.0,0.0,6110.0
Nick Barnett,LB,GB,GB,LB,16.0,4683574.0,3400000.0,3000000.0,0.0,400000.0
Heath Miller,TE,PIT,PIT,TE,16.0,4678740.0,7216240.0,1460000.0,4250000.0,1506240.0
Charles Tillman,CB,CHI,CHI,CB,15.0,4670566.0,3300000.0,2250000.0,0.0,1050000.0
Darren McFadden,RB,OAK,OAK,RB,12.0,4664760.0,5391760.0,385000.0,0.0,5006760.0
Vince Young,QB,TEN,TEN,QB,12.0,4627284.0,2167280.0,2160000.0,0.0,7280.0
Randy McMichael,TE,STL,STL,TE,16.0,4607280.0,3607280.0,3600000.0,0.0,7280.0
Ben Leber,LB,MIN,MIN,LB,16.0,4600000.0,4000000.0,3950000.0,0.0,50000.0
Tony Romo,QB,DAL,DAL,QB,16.0,4588479.0,625980.0,620000.0,0.0,5980.0
Shawne Merriman,LB,SD,SD,LB,14.0,4566130.0,2978630.0,2972000.0,0.0,6630.0
Willie Parker,RB,PIT,PIT,RB,14.0,4542180.0,3604680.0,3350000.0,0.0,254680.0
Tony Gonzalez,TE,ATL,ATL,TE,16.0,4507280.0,4507280.0,4000000.0,0.0,507280.0
Heath Farwell,LB,MIN,MIN,LB,16.0,4505330.0,4505330.0,1250000.0,0.0,3255330.0
Domata Peko,DT,CIN,CIN,DT,11.0,4501750.0,3400000.0,700000.0,0.0,2700000.0
Jonathan Vilma,LB,NO,NO,LB,16.0,4500000.0,9300000.0,3300000.0,6000000.0,0.0
Vernon Gholston,LB,NYJ,NYJ,LB,14.0,4476240.0,9186240.0,2900000.0,0.0,6286240.0
Bo Scaife,TE,TEN,TEN,TE,14.0,4466680.0,4466680.0,4462000.0,0.0,4680.0
Jarret Johnson,LB,BAL,BAL,LB,16.0,4462470.0,3290651.0,1983181.0,1305000.0,2470.0
Antonio Gates,TE,SD,SD,TE,16.0,4456630.0,3256630.0,3250000.0,0.0,6630.0
Yeremiah Bell,S,MIA,MIA,S,16.0,4450000.0,8600000.0,2550000.0,6000000.0,50000.0
Robert Geathers,DE,CIN,CIN,DE,15.0,4433333.0,2600000.0,2400000.0,0.0,200000.0
Nick Harper,CB,TEN,TEN,CB,11.0,4407280.0,3407280.0,3400000.0,0.0,7280.0
Derrick Mason,WR,BAL,BAL,WR,16.0,4404160.0,3004160.0,3000000.0,0.0,4160.0
Ryan Grant,RB,GB,GB,RB,16.0,4400000.0,4250000.0,1250000.0,0.0,3000000.0
London Fletcher,LB,WAS,WAS,LB,16.0,4350000.0,2250000.0,2150000.0,0.0,100000.0
Chris Hovan,DT,TB,TB,DT,16.0,4306760.0,3006760.0,3000000.0,0.0,6760.0
Phillip Buchanon,CB,DET,DET,CB,13.0,4255720.0,4505720.0,1000000.0,1000000.0,2505720.0
Kevin Faulk,RB,NE,NE,RB,15.0,4254280.0,3507280.0,2900000.0,0.0,607280.0
