id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
7448083,Ground Floor Studio in A'dam Noord,26981073,Tjoet,,Noord-West,52.41565748402039,4.899668884969312,Entire home/apt,61,1,12,2015-12-12,2.29,2,338
6300592,Double Room New Centraal,2336797,Adam,,Noord-West,52.4103878421073,4.90345769422496,Private room,60,3,1,2015-05-19,0.13,1,216
4661466,Sleeping Beauty + 2 free bikes,11944049,Maik,,Noord-West,52.40902571356554,4.906504763056343,Entire home/apt,40,1,29,2015-12-14,2.39,7,329
1383297,Family home + garden - Free Parking,4615590,Marta,,Noord-West,52.42427530026133,4.887210760565971,Entire home/apt,200,2,0,,,5,351
7739393,Charming house with sunny garden,6478595,Sanne,,Noord-West,52.412988143862805,4.889277786939885,Entire home/apt,100,2,6,2015-10-20,1.27,1,358
3937891,"Amsterdam, loft, free parking, buss",20402807,Freek En Mariette,,Noord-West,52.413204633568284,4.885024005844777,Entire home/apt,129,2,60,2015-12-29,3.77,1,361
889702,Family house with garden,4720967,Remy,,Noord-West,52.410178082608844,4.906253052129276,Private room,65,1,10,2015-09-13,0.32,1,364
7111455,Private 1st floor room&bathroom,20919943,Ellen,,Noord-West,52.42511555976292,4.888423579037638,Private room,60,1,21,2015-12-26,3.80,1,321
4657808,Beautiful Spacious House,10545930,Anne,,Noord-West,52.4200205533402,4.892694608527361,Entire home/apt,90,2,2,2015-01-04,0.16,4,0
8982238,Lovely home in Amsterdam,46927948,Inge,,Noord-West,52.41340396260742,4.881382931747115,Entire home/apt,79,1,2,2015-12-21,1.20,1,50
2592291,Large clean house by the canal,13270719,Igor,,Noord-West,52.406955582829696,4.900570237556294,Entire home/apt,130,1,17,2015-11-01,0.79,2,364
1708244,Amsterdam privat spacious room NDSM,8817734,Nienke & Gert,,Noord-West,52.40779075545296,4.9011009103002,Private room,85,2,38,2015-11-08,1.81,1,332
